Predicted,Text
original,????? ?????????? ????...
Fake,??? ??????? ???? ?????? ????? ???????? ??????????? ????? ??????? ??????? ???????? ?????????? ????????????? ?????????????? ???????????????????????? ????????????? ????????????? ???????? ??????? ???? ???????? ??? ??????? ??? (?) ?????????????? ??????????? ????? ?????????? ???? ????????????? ???????????? ?????????????????
original,???? ??? ?????? ???????? ????
Fake,One world order
original,??????????   ??????? ????? ????? ???? ??? ???????? 2026+??? ?????? ???????? ???? ??????
Fake,?????? ??????  ??? ???
original,?????????????? ?????????? ?????....dhe eppo ok
original,??? ??????????? ???? ??????????!
Fake,"???????????????? ?????? ????????????????  ???????????????? ??????  ?????????????????  ? ???????? ?????????????  ??????? ???????????  ?????? ???????? ????????, ?????????? ????  ??????  ??????  ???????????, ?????????????  ?????????  , ??????? ?????? ????????  ??????????????  ?????????????      ????  ???????????"
original,Avastta..
original,"???????????? 501 ???? ??????????, ????    51,     5   0  1 ?????? ????????????????"
Fake,??????? ???? ???? ??????  ??????????? ??????
Fake,Chankile china????????????????
Fake,Where is state health minister... Whether she is alive?... She is not ashamed...? Your party congress....? Useless minister.... Meant for nothing......
original,?? ???????? ??????
Fake,"????? ???????? ??? ??????? ?????????. ???????? ?????????? ??????? ???? ?????????????????. ????????? ??????????? ????? ?????????????? ????????, ????. ???????????. ??? ??????????????? ???????. ????????????? ????. ??????????????? ????????? ???????????  ?????????? ?????? ??? ??????"
original,????????? ???????  ????????? ????? ????????? ?????????
Fake,They have the antidot
Fake,?????? ?????????? ...<br>??????????? ?????....<br>???? ??? ???????????  ???????? ??????????
original,??? ?????? ????? ?????? ???????? ???????? 2?????? ????? ?????? ??? ??????????
Fake,The eyes of darkness.
Fake,???? ????? enna film ??????? ???? ????????????. ?????? ?????? ??? ????? alle???
original,Covid thiruvathira mela ??kashtam?
Fake,???? ??? ??????? ???? ?????????.... ??? ???????  ???? ???? ???????? ???????????...
Fake,Prasangam allathe pravarthy illa.
original,WHO ???? ?????? ????????? ??? ?
original,????? ?????....  ?????? ????? ???? ??????????..... ??? ??????... ?????  ???? ???????... <br>???? ??????? ??...  ???????? ????? ????????? ? ???? ????????????? ??????.... <br><br>??? ???? ?????? ??????? ???  ?????? elllathinum ???? ???  <br>&quot
Fake,???????????????? ???????????? ??????????? ????? ????? .
Fake,"If vaccine is safe, then why government not ready to giving compensation for future side effects.?"
Fake,?????????? ??????????? ?????? ?????????? ???????????<br>??? ???? ?????????? ?????<br>????? ?????????? ??????
original,Adipoli
Fake,"??? ???? ????? ?????????,  ?????? ?????"
Fake,?????? ??????????? ????? ?????????? ... but ????? ????
original,"?????enthaa cheyyuka,anubhavikkuka"
Fake,It&#39
Fake,Thank you doctor...!
Fake,America wuhan lab bombittu champalakkanam
original,????? ???????????? 3 ????? ???????????? cpm ?????????.. ????? ???????.?
Fake,??? ??????????? ?????????????.
original,??????? ????? ?????? ????? ???? ????????????? ???????????????????????????????????????????
original,"????????? ???????????? ????? ????????????????, ??? ????? ????? ?????????????. ??????? ?????? ????????????????????."
original,Aar ingane cheythath anelum<br>Naamokke etre budhimuttunnundenno??
Fake,Varendannu paranju kaanum.. virus ilibhyanaaayi..
Fake,"?????? ????????? ??????? ????????? ????? ? ????????????.???? ??????? ?????????? ?????????? ??? ?????? ?????????? ????????? ?????? ???!????? ?????? ??????????..???????????????????? ??????????.????,? ??????? ??????????????????? ?????????."
original,??? ???????
original,1947 ???????? 15 ?? ?????????? ????????????? ?????? ????? ????????. ????? ????????? ?????????????? ????????????? ?????? ?????????????
Fake,??????...
Fake,?????? ???????????? ?????????? ?????? ??????????? ??????? wuhan lock ?????? ??????? ?????????????? ???? ????? ???????????????? ????????????..!
original,???? ???????? ??? ???????? ??????????. ???????? ?????? ?????????????????????? ?????? ????? ??????????. (????? )
Fake,??? ???????? ?????? ??????? ??????????. ?????????? ??? ??? ?????? ?????? ??? ??????? ??????????????.??? ??????? ??? ??? ???
Fake,Asianetile oru good program ?.....content creator nd presenter needs a good?
original,??? ???????????????????!!!
Fake,????? ??????? ??????? ????????? ?????????? ???????? ???????????.
Fake,China uyir?
Fake,Sare Britton vartha akkiyale Sare ollathu parayukayoullu. Election covid mela nadannapol thankal onnum mindathe erunnu eppol botham vanno Sare.
Fake,Patti narikal ellam thudagivachitt China ninnu thudachubnikkum ennu....matturavakkayallooo...eni nigalkku enthum avvalloo
original,?????? ???????????? ???????? ???????
original,Paranariye.Pedichitta.Omikron.Korona.Avidekkku.Kadakkathathu. Chennal..Kadakku..Purathu.Ennu.Kelkkandayennu.Karuthiyanu.Pokathathu.Pol.Ekathipathikkendumakamallo.
Fake,Chinaye veruthe vidaruth
Fake,Omicron... It&#39
original,??? ???  ?????? ???..??.
Fake,Virus incubator China ye ottapeduthanam......They killed millions and blame nature
original,Cpm thanne ee parupadi kal ellam cheyunnathe jannangalle viddikallakkiyathe nirthathayilla cpm thanne nadinnapathannu cpm ulla ellarum sampannarayil adipidi kku poya kurachuthandikal mathram vayinookki nadakkunnu share ittu kallukudikkan nadakkunnu
original,???????????????? ??????????? ?????????????????? ???? ??????????????????????? ??????? ?????? ????????????????????? ??? ????
original,?????????? ?  D ??????????????????
Fake,All are doctors now..<br>People know about covid now...They know about protection...Mask..<br>Ayuvedic treatment.. Method<br>Remidie. .Give instructions<br>and Guidelines.. Nothing to worry...But Lockdown and some panics are here..
original,Ini onnum cheyathirinalmathi . munne paranjathu pinarayi 7divasam corontain aaki
original,?? ?? ??
Fake,???????????? ???? ????? ????????????????????????????????? ??? ?????????????? ???? ????????
Fake,???????? ?????????? ?????????? ????? ?????????. ???? ??????? ???????? ????????????????.
Fake,China is a devil
original,???? ??????????? ????????? ?????????... ?
original,?????? ??????????? ?????? ???????????
Fake,Seems to be a realistic analysis after a long time since COVID 19 was reported first
original,"&quot;????? ??, ????? ??? ???? &quot;  ???? ??????? ???????????????? ?????? ??????????????? ?????????<br>????? ??????????,  &quot;???????????&quot; ??????????.<br>      ??????????????????? ?????? ??????? ????????? ??????????????."
original,????????? ???????? ??????????<br>??????? ???? ??????? ?????? ?????? ??????
Fake,China indiak ethire preyogikan vendi america yude kayyil ninnu medicha virus aanu ith. Bombukalilum matum upeyogikan. Ath buhanile labil aanu soikshichirunne but enganeyo ath chaadipoyi ennanu ee coronaye pati adyamokke precharichirunnath. Ith manushya nirmithamaya virus anennum pareyunnu. Ethratholam sathyam anennu ariyilla.
Fake,???????????? ?????? ??? ????? ???????? ??????? ??? ??????????
original,"?????????????? ?????????? ????? ???????? ??????? ???????? ????? ???????? ?????? ???????? ?????. ITHINEYAANU NAMMAL THENDITHARAM ENNU PARAYUYNNATHU. BHOO, BHOO, BHOO,"
Fake,?????? ??? ????????? ??? ?????? ?????????....?
Fake,??? ????? ??????? ??????? ?????? ????? ???? ??????????????? ?????? ???
Fake,????? ???? ?????? ?????????? ??????????  ?????????????? ?????????
Fake,"??????  ??????  ?????????. ?????  ???  ????  ????????  ???????????  ???????????????? ?????? ?????? ???????? ????????????.  ????  ??????  ????????????  ??  ??????? ???????????  ??????????????  ??????  ????????. ?????  ?????????  ??????  ???????  ???, ???????  ????????? ??? ????????.  ??? ?????? ????? ??????  ????????????  ?????  ???  ???????????????  ??????. ?????  ??????  ?????  ?????? ?????  ?????  ?????  ?????????  ??????  ??????  ?????.  ?????  ???  ??????  ??????. ?????"
original,"??????? ??????, ?????? ????????????????"
original,??????? ??????? ??? ???????? ?????? ?????????????
Fake,Great depression 2.0 coming?
Fake,Thudarbaranam viddittham aayi
Fake,Ban china
Fake,?????????   ????? ??????????    ?????? ??? ?????? ????????????????
Fake,Oru nanakkedum Ella.. Eniyum nadakkattea.. Kumbha melam.. Ki jai... Jai mahadeva ?
original,Aaahaa...???
Fake,"True, true, true."
Fake,????? ??????????? ??? ????????? ??? ?????????? ?????? ????????? ??????? ?????????? ???
Fake,?????? ??????????? 100% ???????????? ????? ?????? ??????? ???????? ??????????. ????? 90% ??????? ????????? ??? ????? ???????? ???? 1 ?????????????? ???? ??? ????????????? ??????? ??????? ???????.  ? ??? ????????.
Fake,??? ???? ?????? ???????? ??????? ??????? ?????? ???
original,??? ????? ??? ?
original,"????? ?????.... ?????? ????? ???? ??????????..... ??? ??????... ????? ???? ???????...  ???? ??????? ??... ???????? ????? ????????? ? ???? ????????????? ??????....   ??? ???? ?????? ??????? ??? ?????? elllathinum ???? ???  ""?????? "" ????????... ????? ??????.. ??????????? ??? ????????? ???? ?????????????"
Fake,"??? ?????????? ????????? ???, ??? ??? ??????? ????????"
Fake,This is not thiruvaathira this is new Gen pinuvathira
Fake,Absolutely right about Makkah pilgrim....<br>?????????????? ??????????? ????????????  ????????????? ???????.
Fake,Anthada thayoli kumba mela nanakedum thableek rajyadrohavum aakumnnath
Fake,Evarkoke corona pidichal kudumbathil elavarku pidikule
original,Ithu.janasangia.kurakkan.vendi.nirmicjathanoo.allathenthu.parayan
Fake,???? ??????? ??? ???????????????. ??? ???????? ????... ??????? ?????? ?????????????.
original,Ulupp illatha sarkar??????
Fake,epoyengilum saajan makkayude  nanma paranjallo  v   good    kuodutal  padike   eniyum  nanma  parayaam   ?
Fake,?????????? ????????? ?????? ???????????????. ??? ??????? ???????? ???????????. ?????? ??????????????????. ????? ????? ? ??????? ?????????????????. ?? ???????? ?????? ????? ???? ???????????
original,Note thegele thabalegu
Fake,?????? ??????????? ????????????????? ????? ????? ?????? ?????? ??????????? ????? ??? ?????
Fake,BCG vaccine.... ???
original,Para nari cpm party&#39
Fake,"Doctors can speak only in support of vaccination, if not will face difficulties"
original,????? ???? ?????????  ??????? ???????????<br>??????? ????<br>????????? ????????????? ?????????? ????????????? ????????? ?????
Fake,Party paruvadikk Corona marinilkumm
original,Alpante oro samaasha
original,??? ??????????? ??????? ????????? ????? ???????????????. ??? ??????  ? ?????????? ?????  ???? ???????????.
Fake,??????? ???? ???? ?????? ??????????? ??????
original,Cpm ???????????  ????????. ????????????.  ?????? ??????????<br>???????????????? ??? ??????  . ???????? ???? ??????  ???????? ?????? .????????
original,??????????????
Fake,??? ???????????? ?????? ??????? ?????? ????????? ?????? ??????????. ???? ????????? ???????????? ??????? . ???????????? ???? ??????????? ?????????? ????.  ??????????? ???????? ?????????????? ???????????? ????.!<br>????????? ?????? ???????? ?????? ??????????? ?????? ??????????? ??????.. ? ???????????? ????????? ?????? ???? ????? ???????????????.<br>? ??????? ???? ???? ??????? .
Fake,Thanks
Fake,??? ?????????? ????? ????? ??????????? ???? ????????????...
original,????????? ??? ?????? ???? ???
Fake,??????? ????????? ????????? ?????? ?????? ???????????? ?????????????? ??? ???????????  ??????? ??????? ??????
original,?????? ???? ????????  ???? ????????? ?????  ??????????????? ?????? ????? ???? ?????? ?????
Fake,This is predicted by Santhosh Sir (Kaliyuga Jyothisham) now it&#39
original,????? ?????????? ??????????  ??????? ?????????? ??????? ????
Fake,"C,P,M,,,,,L,P,JAYARAJANU,ORU,NITHI,,PINNARAYIKKU,,VERORU,NITHIYO,????"
Fake,Good   speach
Fake,???????????? ???? ????? ????? ?????
original,???????? ???????? ???????????????? ??? ?????? ???????????? ..... ??? ??????????? 500 ???? ????????? ???????? ?????????..
Fake,Virus avar kandupidichenkil marunnum kayyil kanum. Kure ennam chathottenn vekkum. Athu avarude rajyathanelm mattulla rajyangalilanelm avarkkonnumilla. Kure ennam poy kazhiyumbol avar marunn kandupdchu ennu paranjini varuonna ariyendath. Cubayude kayyil marunnundo ennum samsayikkam
Fake,&#39
original,"????????? ??? ????? ???????? ?????? ???? ?????????? ????? ??? ?????? 75?????????? ?????? ?????? ?????? ??????? ????????? ????? ???????????. ???????? ??? ???? ????????? ??????????. 75????? ???? ?????? ?????????? ????????? ??? ???????????? ???????. ?????????? ? ?????????? ????????????? ?? ??????????????. ????????????? ??? ????? ???? ????????????? ????? ???????????????? ???????. ??? ?????????? ????????? ????? ??????????? ??????????????? ????? ??????, ??????????? ???????? ??????????"
Fake,"? ?????? ???????? ??????, ????????? ?????? ???????, ???? ????????, ?????? ???????,  ??? ?????? ????? ???????????????????????,"
original,Arogya mantri undo area aaaaa
original,?????
Fake,"???? ?? ????????? ?????????????? ??????. ???????? ?????? ??????? ????? ???? ??? ?????? ?????? ???????? ???????????, ?????????????????? ?????? ????????????..."
original,Maha kallan
original,"??????? ????? ???????, ?????????????????? ????????, ???????????????????? ????? ???? ??????? ????? ?????????????? ??? ??? ??? ????????????? ??????????..."
Fake,??????? ??????????. ? ???? ??????? ?????? .......@@. ???? ?????? ????????????????????.
original,?????? ???? ?????? ????????? ????? ?????????? ?????????? ????? ?????
Fake,?????? ??????!
Fake,??? ???? ?????? ??? ???
original,??????? ????????? ??????? ??????????? ?. UDF ???????? ?. ???????????? ?????????? ???????? ??????????? ????????????????. ?????????? ?????.
Fake,??? ??? ?????? ??? ?????? ?????? ????? ???????????????...??????? ??????????????... ?????????? ???? ?????? ???? ?????????????...
original,????????? ????? ?????? ?? ??????
Fake,???? ??????????. ??????? ??????????? ????? ????????? ??????? ?????? ??????. ??????????? ???? ????????????? ???????? ?????? ???????????? ??? ???????. ??? ????????? ???? ???????? ?????? ???????? ???????????? ?????????????? ???????????????. ????? ?????<br>. ??? ???? ????????. ??????? ????? ?????? ???????? ?????????? ????. ????? ?????????? ???? ??? ???????????. ???????? ?????? ????? ???????. ??? ??? ????? ?????????? ??????. 10000 ??????????? ??????. ??????? ???????????????.
Fake,Pity those so called ladies eulogising a Rakshasa like our Hiranyasha in epics. Marxist party has stooped down to the level of idolizing individuals and licking leaders chappals just for some favors or free kits or ornamental public sector jobs and will do anything . Despicable and incorrigible social waste
original,??????? ??????????????? ??? ???????? ??????? ??? ??????? ???? ????????? ? ?????????????? ???????? ??
original,??????  ????????? ?????????? ???????????????????? ??????????????..?????????????.?????? ????????? ???? ????????.
original,?????????????
original,??????? ????? ?
original,Evanayokka kallariyanam. Health minister has limitations. Pinarayi thanna ellaam!
original,"Pani edukatha Thozhil urappukaru, Pension kodupukaru, plastic thodatha Hridhakarmakaru, ward nokatha ward member maru, Asha worker mari angane sagala Marxist recruitment karum.. Thiruvathira kalichonam.. Paiyan marichathil paduppu mudikitundallo haa athu mathi enavum ????"
original,??????? ????? ???????????? ????? ???????????? ??????????...!!!
original,Entha chykaa... minnal murali de shakthi enik dayvam tannirunengil ennu agrahikkunu...
original,????????? ????????????? ?????????????? ?????????????????????? ?????? ??????????
Fake,All the bst China.. And Nighalkku athu Saadikatte.. God bless you
Fake,<b>?????????? ? ?????? ??????? ??????? ??????? 20 ?????? ??????? ??????? ??????? ????????? ??? ????????????????</b>
original,????????? !!
Fake,??? ??????????? ??? ??? ?????? ??????? ?????????????
Fake,Anu bomb ittu china illathakkenam
original,Assaanu Adupoilum aavaam ????
original,Pravasikal  ano koronakkar...
original,??????? ????????? ???? ????????? 88 ????????? ????? ?????????? ?????? ?????????? ??? ?????? ???????????? .78 ????????? .????? ???????? ???? ?????.???????????????? ????? ?????????? ??? ??? ??? ???????????? .. ??????????? ????????????? ??????? ??????? ????? .. .??????????? ?????? ?????????????????????????? ?????????? .. ???????. .. ??????? ????? ????? ??????? ????? .. ???????? ????? ????? ??????????? ... ??????. .. ???????? ????????? ???????? ???????????? .. ??????? ?????? ???? ???????????? ????????? ?????? ???????? ????????????? ????:??????? ??????? ... ???????????? ??? ????? ?????????????????? ???????????????? ... ?????? ....
Fake,??? ??? ?????? ????
Fake,?????? USA ??? ?????  Covid-21 or Covid -22 ??? ????? <br>?????????? ???? ?????????????? ???? ??? ???
original,?????? ?????? ????? ?????? ?????
Fake,???? ??????????? ???????......
Fake,No sir china is no long
original,??????????? ????????? ??????? ?????? ???????? ?????? ?????? ?????????
original,?????? ??? ?????? ????????
Fake,?????????????? 3rd world war ????????????!
original,??????? ?????? ?????????? .
original,"Ethinokke paranju vidunna, veetukkare paranjal mathi, oru jathi bhodham illa teams aanello, full"
Fake,??? ??????????? ?????????<br>????????? ??? ????? ????? ??????? ?????????? ????????.<br>????????????????? ?????? ?????? ??????.
Fake,Ethinu eragi thirikkunna pennugalea ntho parayana
original,????? ????? ??? ??? ????
Fake,People will be immune to Corona slowly and Corona will be disappeared
Fake,So sad to see traditional used for political campaigns.
Fake,"Hello Marunadan, pl do a story on the sacrifices of Indian soldiers in WWI and WWII.  Today is DDay remembrance globally where the Allies landed on the beaches of Normandy.  Indians fought for the British in both world wars.  Without Indians the British may have lost WWI.  Nobody remembers the Indian participation and there are no memorials for the Indian sacrifice in Britain or India!  I request you to do a show, find any WWII survivors who may still be around and give Indians a chance to celebrate our  own!"
Fake,Corona ye jesus oddikkum
original,Njngal kalakaramar show Cheyan covide protocal Nikki anumathii chidhicha tharula ingalkku enthum avam preshnam ella
Fake,Manushyn thenne manushyne kollunnu
original,???????? ??????? ???? ????? ??????? bijyan ???
original,"??????????, ?????????? ????????? ???? ??????? ????? ?????????? ????? ???????. ????? ????? ?????? ????? ???????"
original,?????? ?????????????? ?????? ?????? ??????? ????? ?????????? ? ??????????? ????? ????
Fake,Corona chinayude jaiva ayudhamaanenne nerathe samshayam ullatha.
Fake,"China apple phone, car, watch copy adikunathe polee eluppam ullathalaa Corona virus ennu orkanam. China manapoorvam adichu irakiya virus anee. First experiment avarude janangalil prayoghichuu. Chinese Governmentinde neriketta chintakal anee karanam."
original,Appo kalyana veetil Thiruvathira kali vaychal 550 perkk pankedukkallo....???
Fake,Mr all of included inhistory
Fake,When idiots rule the state this is what happens.
original,????????? ?????????? Parda ?????? ?????? ????????. ????? ?????? kettiyappol ?????? ?????????????.
Fake,????????? ??????????? ??
original,? ????????? ? ?????? ??????????
Fake,Maakrikale thiruvathirayanoo ningalde marunu…
original,??? ???? ???????? ?????? ????????? ?????????????? ????? ??????? ?????? ????? ???? ?????? ??????? ??? ????? ??????? ???????? ??????? ????? ?????????????? ??????
Fake,?????? ????????? ????
Fake,Corona ee lokam vitt poyirunenkil
original,???? ????
original,????????? ????? ????? ??? ??? ??????????? ????????? ? ?????????? ?????????? ?????? ???????????? ?????????? ???????????????????
original,????? ????? ???
Fake,???????? ?????????? ??????????? ??????????
Fake,"??????????? ?????? ?????? ???????????, ???????????? ??? ?????? ???????? ????? ?????????????."
original,Ithrem nannom kett oru rashtriya party vere undavillaa
Fake,?????????? ???????  ????
original,??? ??????? ????
original,??? ?????????? ????? ??????? ????????
Fake,China chatiyanmaranu avanmar indaki vitatha itu avanmarude kayil marunnum indu avanmaranubitinu pinnil
original,"?????????, ????? ????????? ??????? ????....."
Fake,da kayuthe 2 aaycha aayalloda nee enthe varthayado ithe
original,??????????? ???
Fake,??????????? ????? ? ??????????????? ?????????
original,? ????? ???????? ????? ??????? ??? ???????
original,"Ente ponnu manushyare, ee paattu kettu kettu, pankajakshan kadal varnan enna pattu marannu full marannu &quot;innee keralam bharicherdum &quot;enna vari aanu ente manasilum navilum muzhuvanum ippo...??????"
original,? ? ???? ??????? ??? ???? ?? ????????
original,?????? ????? ???????.
original,????????
Fake,????? ????.. ?????? ?????????? ???????? ???...
original,Bodhidharman :)
Fake,Edhu COVID ennay OMICRON ennay avaruday alliyanmarayum villichu verutunadhu pollay undu... Nice oh nice...
original,??? ???? ????????????? ???????????. ?????????????? ??????? ??????? ??????????. ????????? ?????????.
Fake,?????? ?????????? ??? ???? ?????????? ???? ?????? ????????? ???? ?????? ??????????????? ???? ?????????? ????? ?????????? ????????????????? ????? ???????
Fake,Nink onnum patilla verthe Oro news
Fake,???????? ????????? ????????? ??????????...?????? ?????????? ??????????
original,????? ???? ??????????????
Fake,China ude kayyil predhirodha marunund ath logathodu parayanum vayya eanna avar aanu virus irakiya eannu manazilakum pani kittu athu kond china ulla kurach perkku marunnu nalkathe konnittu nammal onnum arinjille rama narayana eanna mattil America aanu vilanennu kanikyan srimikunna china onnu ortho ith kurach nale kaanu nammal mari kadakum karanam ith made in china aanu jaye india ?????
Fake,????? ?????????? ?????? ???? ????. ?????? ?????? ?????????.....
original,??????????? ?????????? ?????
Fake,???? ??????? ?????? ????
Fake,Yes it is a bioweapon used against  the humanity.
original,??????? ?????? ????
Fake,????? ??????? ???? ??? ?????? - great Sir
original,"Ningale kandal nalla look anallo man, valla veshyaa panikkum poykude?"
Fake,???? ??????????????? ? ? ??????? ???????? ?????????
original,????????????? ??????? ????????? ???????
original,ividathepole azhinjadan samathikkilla  thattikkalayum
Fake,Logam Muzhuvanum Padarnnille.
Fake,???????????? ????????? ???????? ????? 21 ???????? ?????? ???????? ???????? ??????????? ????? ???... ..140 ???? ????????? ???? ????????.. ?????? ???????? ???????? ??????? ??????????? ????? ..?????????? ??????? ????? ??????? ...???????????? ????????? ????? ???????????????? ???????? ??? ???? ???????...NIA ???????????? ??????????? ????? ???????? ??????? ??????..???? ??????? ??????  @#$%$# ????????? ??????????????
original,?????? ????? ?? ??????? ?????????? ???? ??????????? ?????????? ?????????? ??????? ??????????????? ?????? ??????????????????? ?????? ? ????????? ??????? ????? ??????????????? ????????????????????
original,? ?????????????????? ????? ???? ????????? ??????? ??????? ????????
original,Smoking?
original,Njan saghavanu but partyk mukalil arum padilla paranja alu thanne pukazhthi paada. Party evidrkka pone. Appo p jayarajettane kurichu padiyapol enthe... Party nadapadi eduthu..
Fake,? ????????? ?????? ?????? ?????????? ???????? ?????????? ???????? ??
Fake,??  ???????????? ?????????
original,? nde kayille pooooo mala?
original,"??????? ?????????? ????? ?? ?????????? ??????? ?????????? 2024, 2026 ?????????????? ???????? ????????????????????? ?."
original,????? chehh
Fake,Nothing will happen
original,??? ??? ????????? ?????????..
Fake,China yude kaivasham corona kkulla medicine or vaccine adyame undaayirikkum...avar ithu manapoorvam shathrukkale nashippikkaan cheythtathaayirikkum...chinayeyum ithupole thakarkkanam
original,???????? ?
original,Deltacron ??
Fake,??????????? ??????????
original,?????? ????? ??????? ??? ????
original,???? ???? ????????? ????? ????????? ????? ??????????? ???????? ????????????. ????? ?????????? ???? ?????????. ?????? ?????? ????????? ?? ?????????? ???? ???????????? ????? ??????????????????.........
Fake,"good news,happy to happen soon"
Fake,Yenthukondu Vaccine yedukunnavarku side effect undakunnu yennthu simple ayittu yellarkkum manasilakkunnathupole paranjalentha!
original,???????? ?????? ???? ???????? ???????? ???????????????? ??????? ? ??????????? ??????? Like ??????? ?????????? unlike ??? ?????????? ??? ???????? ???????????????? ????
Fake,Lokathe sambathikamayee thakarkkuka enna otta karanam.. Chinaye sukzhikkuka
original,??????????? ?????? ????????...??????????...??????? ?????????? ???????????? ????????.....?????? ??????????? ?????? ?????? ????????????????? ??????? ????????? ?????? ????? ?????? ??? ????????????? ??????? ??????? ????????......
original,??????????????? ??? ??????????? ???????????? ????????? ???????????....<br>???? ??????  ??????? ?????? ??????? ?????????????????<br>????????????? ????????...<br>&quot
original,?????????? ???????? ????? ????????? ???? ??? ??? ?? ??????? ??? ??????? ??????? ??? ???????? ???????
original,<br>??????????????? ???? ???? ??????? ??????? ?????? ?????????? ????? ????????????? ???????????????? ??????????? ?????????????????..
original,Ithenth koppile.....??
Fake,Hay Illuminiti stop it
Fake,Anchor should at least wait for the participants to finish his replies.
Fake,??? ???????????
original,Ivarkoke endhum aavum makkalde kaliyanam nadathunna mathapithakalkke vendapettavare polum vilikkan pattilla endhoru sarkaranithe
Fake,Corona nashichu potte
original,???????????? ?????? ????
original,C. P. M. P.  Pretty
Fake,??????? ??? ???????? ??????? ?????  ??? ????? ?????????? ????????? ?? ????????? ???????????? ??????? ??????? ??????????? ????? ????? ??????????? ??????
original,???????? ????????????? ??????? ?????? ????? ????? ?????????? ???????????? ??????? ???????????? ????????. ??????????? ???????? ?????? ????? ??????
original,??????? ????? ?????????
Fake,"Very suspicious about China .I watched a video explaining Corona started in China early 2019  ,they hide it many months ,as every one know the doctor and few journalist told the truth and they were killed .Lakhs  people might have  died .How can it stop completely from China ?? Surely they devolved vaccines and drugs but they never tell the truth .Minimum one year will take to start drug or vaccine to people.that means they had corna 2019  bigining."
Fake,????????? ??????? 2 ????? ????? ???????. ???????? ?????? ??????? ?????...
Fake,Corona manushya nirmitgavum.... Vaccine nalloru bisnessum
original,"??????????? 500 1 ??? ??????????????? ??? ????? ???? ??????????? ???? ???? ??????????? ?????????? ,?????????? ??? ?????????????"
original,Polichu mothere ????????
Fake,China controlil aakki thudaggi
Fake,If it is true all other nations should stand together and teach  China a lesson
original,??????? ????? ???????
Fake,"????? ??????? ?????. ???? ???? ????????. Hypoxima, sle, tumor apoptosis, fibroid, calcification, cancer ms, anginabpectoris??????????? ???????? ?????????. Psychic killer Bill Gates is exposed globally."
original,Minister polum
Fake,????? ????? ?????       ?????? ?????????????? ???????? ????????????? ??? ??? ??????? ?????? o ?? ???? ???? ?? ???? ?????? ???? ????????? ?????
original,???? ???????
original,Cpm nirthi pokarutho ?????? ???? oly ??????? ???? educated
original,E  pravishyam koodi alle ollu....
original,??????? ????? ???????. ?
Fake,Ivar...rajyadrohikal..ennu...ethra...pravasyam...theliyikkanam..
Fake,Ithinu pinnil china thanneyanu.
original,???????? ???????? ???? ???????
Fake,Pig thayolikal
original,???? ????? ???????????
original,?????? ????????... ?????? ???????????? ??????? ??????? ???????? ????? ????????... ???????? ???? ????????? ?? ????????? ???????????? ?????? ???? ?
Fake,Ignore them.
original,"Uluppilayma!! Bellandaya illandakum, athanoru aswasam.."
Fake,"Remember , If any one takes sword he shall be die for it self."
original,??????????? ???????? ??????
Fake,everyone knows about this......athinu samanya budhi mathi...that its the chinas doing....who doesnt know this.....pinney america kandu pidichu polum......
original,Arenkilum pedippicho???
original,????????????? ??????????? ??? ???? ??????????
Fake,???  ????????? ????????????????   ??????  . ??????????  ??????????
Fake,Keralathile corona 1 varsham kude kanum may 2021
original,"Maricha, vetil, 20,per, vivahathinmu, achanum, ammayum,, azinyadan, 2000per, jevikkan, vazi, mutui, nadakkunna, janagal, arum, vetil, irikkarud, purgalo, nercha, yo, undagil, kananam, poganam, maranam, nammal, bayakkarud, namal,, kasullavan, alla, rashtrya, karun, alla, maranam, pedikkan, 1divsam, engill, adichu, polichu, jevilkam"
Fake,?????????? ??????????????? ??????????? / ???? ????????????????? ???????????
original,? ????????????? ??????? ???? ????? ?????????? ??
original,????? ???????? ????????? ???
original,Pàathram kottooo
Fake,Valuable information.
original,Trouser anu enna naan karuthiyath
Fake,? ????????? ?????? ????????? ?? ?????????? ?????? ??????? ?????? ???????? ?????
original,?????????? ???
Fake,"Who was the poet Aanavoor Nagappan or Pinaray Vijayan, anyway great lyrics, only Vayalar or Bhaskaran master can write this ???"
original,Vote cheythittu karayaruthu. Kit  chakkathil moonchi vote cheythu ini enthinu kuttam parayunnu
original,Uluppillatha teams
original,? ???????? ?????? ???? ?????? ???????????????????? ??????? ???????????....... ?????? &quot
Fake,"????????? ???????????? ????? ????????? ??????? ????????????????????? , ????? ????????????????????????"
original,Evarokke varum ?????? Sheri aakum!! Nalla bharanam!!! Adipoli!!! ??? ?????? ?????????. ??????? vacha vina anubhavichalle ?????. Aare ????? ?????? ???????. ????????? ???? ??????????? ??? ??????? ????? ??????? ?????????????????. ???? ??????????? ?????????? ??????? ????????? kore partykkarum athippol onnalla ?????? ??? ??????
original,Sarkar..vann tholviiii
original,???? ???? ?????? ???????? ??????? ?????? ??? ????? ????? ????????? ?????? ???????? ??? ????? ????????? ????? ????????? ?????? ????? ?????? ?????????? 2 ????????? ???????? ???????? ?????? ?????????? ??????????? ?????? ??????? ??????
Fake,????????????? ????? ???????????? ??????????? ???? ??????? ???.
Fake,"????????, ?????? ????????? ?????????????? ?????????????. ??????????? ?????? ??????? ???? ?????. ???? ???? ??????????????????"
